Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),totalEquity,financingCashFlow,roe,market
ADVICE,SERVICE - Services,COMM - Commerce,5.85,6.2,5.85,6.1,0.3,5.17,6.05,6.1,22895293,138903.78,,,,SET-Thailand
B52,SERVICE - Services,COMM - Commerce,0.51,0.53,0.51,0.53,0,0,0.51,0.53,88650,45.57,177829.05,-1186.24,-46.007103478085305,SET-Thailand
BEAUTY,SERVICE - Services,COMM - Commerce,0.52,0.54,0.51,0.52,0.01,1.96,0.52,0.53,18963725,9899.22,909640.93,-42761.89,10.542889761580144,SET-Thailand
BIG,SERVICE - Services,COMM - Commerce,0.47,0.47,0.45,0.46,0,0,0.45,0.46,3809998,1751.96,1796144.0,72656.0,4.321831623833577,SET-Thailand
BJC,SERVICE - Services,COMM - Commerce,24.5,24.6,24.3,24.3,-0.1,-0.41,24.3,24.4,16958102,414360.43,117704633.0,-2874476.0,6.27776912755417,SET-Thailand
COM7,SERVICE - Services,COMM - Commerce,24.8,25.25,24.6,24.9,0.3,1.22,24.8,24.9,15948044,396533.08,3640372.6,-850416.84,37.69500072303785,SET-Thailand
CPALL,SERVICE - Services,COMM - Commerce,65,65.75,64.75,65,0.25,0.39,65,65.25,40413795,2634949.37,113209751.0,-3808102.0,23.566511411199663,SET-Thailand
CPAXTT,SERVICE - Services,COMM - Commerce,-,-,-,-,-,-,-,-,-,-,22711663.0,-356763.0,30.15028020605879,SET-Thailand
CPW,SERVICE - Services,COMM - Commerce,2.9,3,2.88,2.9,0.02,0.69,2.9,2.92,1497285,4386.93,687305.0,-35406.0,10.190004437622308,SET-Thailand
CRC,SERVICE - Services,COMM - Commerce,33.5,33.75,33.5,33.5,0.25,0.75,33.5,33.75,13275448,445664.59,63635028.68,28604258.76,14.187096456075619,SET-Thailand
CSS,SERVICE - Services,COMM - Commerce,0.96,1,0.95,0.97,0.01,1.04,0.96,0.97,7292700,7088.55,1701882.0,214923.0,6.019863778274038,SET-Thailand
DOHOME,SERVICE - Services,COMM - Commerce,11.1,11.1,10.9,11.1,0.1,0.91,11,11.1,3038848,33611.7,6580288.24,-536113.57,11.293741830558453,SET-Thailand
FN,SERVICE - Services,COMM - Commerce,1.1,1.22,1.09,1.2,0.11,10.09,1.18,1.2,6963125,8132.68,1473046.0,-14599.0,1.2062204819012068,SET-Thailand
GLOBAL,SERVICE - Services,COMM - Commerce,15.4,15.7,15.4,15.5,0.1,0.65,15.4,15.5,8474879,131558.01,16771225.0,-1538105.0,13.658252310099034,SET-Thailand
