Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),totalEquity,financingCashFlow,roe,market
ADVICE,SERVICE - Services,COMM - Commerce,5.85,6.2,5.85,6.1,0.3,5.17,6.05,6.1,22895293,,,,SET-Thailand
B52,SERVICE - Services,COMM - Commerce,0.51,0.53,0.51,0.53,0,0,0.51,0.53,88650,177829.05,-1186.24,-46.00710348,SET-Thailand
BEAUTY,SERVICE - Services,COMM - Commerce,0.52,0.54,0.51,0.52,0.01,1.96,0.52,0.53,18963725,909640.93,-42761.89,10.54288976,SET-Thailand
BIG,SERVICE - Services,COMM - Commerce,0.47,0.47,0.45,0.46,0,0,0.45,0.46,3809998,1796144,72656,4.321831624,SET-Thailand
BJC,SERVICE - Services,COMM - Commerce,24.5,24.6,24.3,24.3,-0.1,-0.41,24.3,24.4,16958102,117704633,-2874476,6.277769128,SET-Thailand
COM7,SERVICE - Services,COMM - Commerce,24.8,25.25,24.6,24.9,0.3,1.22,24.8,24.9,15948044,3640372.6,-850416.84,37.69500072,SET-Thailand
CPALL,SERVICE - Services,COMM - Commerce,65,65.75,64.75,65,0.25,0.39,65,65.25,40413795,113209751,-3808102,23.56651141,SET-Thailand
CPAXTT,SERVICE - Services,COMM - Commerce,-,-,-,-,-,-,-,-,-,22711663,-356763,30.15028021,SET-Thailand
CPW,SERVICE - Services,COMM - Commerce,2.9,3,2.88,2.9,0.02,0.69,2.9,2.92,1497285,687305,-35406,10.19000444,SET-Thailand
CRC,SERVICE - Services,COMM - Commerce,33.5,33.75,33.5,33.5,0.25,0.75,33.5,33.75,13275448,63635028.68,28604258.76,14.18709646,SET-Thailand
CSS,SERVICE - Services,COMM - Commerce,0.96,1,0.95,0.97,0.01,1.04,0.96,0.97,7292700,1701882,214923,6.019863778,SET-Thailand
DOHOME,SERVICE - Services,COMM - Commerce,11.1,11.1,10.9,11.1,0.1,0.91,11,11.1,3038848,6580288.24,-536113.57,11.29374183,SET-Thailand
FN,SERVICE - Services,COMM - Commerce,1.1,1.22,1.09,1.2,0.11,10.09,1.18,1.2,6963125,1473046,-14599,1.206220482,SET-Thailand
GLOBAL,SERVICE - Services,COMM - Commerce,15.4,15.7,15.4,15.5,0.1,0.65,15.4,15.5,8474879,16771225,-1538105,13.65825231,SET-Thailand
HMPRO,SERVICE - Services,COMM - Commerce,10.7,10.7,10.4,10.4,-0.3,-2.8,10.4,10.5,46889254,21749773,6906109,27.95778722,SET-Thailand
ICC,SERVICE - Services,COMM - Commerce,32.75,33.25,32.75,32.75,-0.5,-1.5,32.5,33.25,1303,26509413,-73100,1.441753119,SET-Thailand
ILM,SERVICE - Services,COMM - Commerce,18.2,18.4,18.2,18.4,0.1,0.55,18.3,18.4,229103,5084628,-447807,13.56610118,SET-Thailand
IT,SERVICE - Services,COMM - Commerce,5,5,4.88,4.94,-0.06,-1.2,4.94,4.96,334502,999811,-10730,-1.652622202,SET-Thailand
KAMART,SERVICE - Services,COMM - Commerce,11.6,12.2,11.6,12.2,0.7,6.09,12.1,12.2,5600506,1055139,-80269,20.58102619,SET-Thailand
LOXLEY,SERVICE - Services,COMM - Commerce,1.44,1.45,1.44,1.44,-0.01,-0.69,1.44,1.45,125701,5189793,679022,-11.98442126,SET-Thailand
MC,SERVICE - Services,COMM - Commerce,12.1,12.1,11.9,12,-0.1,-0.83,12,12.1,3253588,3760952,-21,6.993424089,SET-Thailand
MEGA,SERVICE - Services,COMM - Commerce,40.5,40.5,40,40.25,-0.25,-0.62,40,40.25,561886,6257108,-201184,19.66040001,SET-Thailand
MIDA,SERVICE - Services,COMM - Commerce,0.51,0.56,0.49,0.5,0,0,0.49,0.5,6411368,5133847,-66868,-0.817893563,SET-Thailand
MOSHI,SERVICE - Services,COMM - Commerce,44.75,46,44.5,46,1.75,3.95,45.5,46,1203882,,,,SET-Thailand
RS,SERVICE - Services,COMM - Commerce,6.25,6.3,6.1,6.15,0,0,6.1,6.15,2612503,1753348.68,-200915.05,24.71078831,SET-Thailand
RSP,SERVICE - Services,COMM - Commerce,2.1,2.12,2.1,2.1,0.02,0.96,2.1,2.12,105500,1727063,-8196,3.988704845,SET-Thailand
SABUY,SERVICE - Services,COMM - Commerce,0.96,1.01,0.94,0.96,0,0,0.96,0.97,91471571,,,,SET-Thailand
SCM,SERVICE - Services,COMM - Commerce,3.88,3.94,3.84,3.92,0,0,3.9,3.92,99917,,,,SET-Thailand
SINGER,SERVICE - Services,COMM - Commerce,11.5,11.7,11.4,11.5,0,0,11.4,11.5,9482218,2158914,-69070,11.39678362,SET-Thailand
SPC,SERVICE - Services,COMM - Commerce,59.75,60,59.75,60,0,0,59.75,60,3200,22157930.08,33061.8,8.967630267,SET-Thailand
SPI,SERVICE - Services,COMM - Commerce,64,64,62.5,64,0,0,63,64,18100,37050567,-754213,6.63896592,SET-Thailand
SVT,SERVICE - Services,COMM - Commerce,1.94,1.98,1.92,1.95,0.04,2.09,1.94,1.95,1101942,,,,SET-Thailand
TAN,SERVICE - Services,COMM - Commerce,9.4,9.55,9.25,9.25,-0.05,-0.54,9.25,9.3,765176,,,,SET-Thailand
AHC,SERVICE - Services,HELTH - Health Care Services,16.2,16.4,15.9,16.3,-0.3,-1.81,16.3,16.4,8222,1598124,-1037,7.419933294,SET-Thailand
BCH,SERVICE - Services,HELTH - Health Care Services,17.3,17.4,17.1,17.1,-0.2,-1.16,17.1,17.2,25209793,7296893,288262,18.38558339,SET-Thailand
BDMS,SERVICE - Services,HELTH - Health Care Services,30.25,31,30,30.5,0.5,1.67,30.5,30.75,117065554,83982978,5751887,12.13509061,SET-Thailand
BH,SERVICE - Services,HELTH - Health Care Services,272,274,271,272,1,0.37,271,272,2791949,21050359,-23973,17.04296993,SET-Thailand
BKGI,SERVICE - Services,HELTH - Health Care Services,2.9,2.96,2.86,2.9,-0.06,-2.03,2.88,2.9,11534685,,,,SET-Thailand
